                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7678,                 9.9886,                 2.4337,                0.00126,                0.05797,                0.00072,                0.00035,                 3.8567,                 8.6571,                   2.26,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                  4.218,                 8.9187,                 2.2309,                0.62391,                0.16509,                0.09486,                0.05065,                 3.0306,                 8.9574,                 1.8361,             0.00014953,             0.00014953,             0.00014953
                      3,                 3.3712,                 4.9147,                 1.8502,                0.24361,                0.79491,                0.33366,                0.18754,                 2.6916,                 18.186,                 1.7998,             0.00023184,             0.00023184,             0.00023184
                      4,                 3.0494,                 3.5832,                 1.8423,                0.39014,                 0.7528,                0.53694,                0.34426,                 2.4756,                 22.096,                 1.8293,             0.00031359,             0.00031359,             0.00031359
                      5,                 3.1524,                 3.1468,                 1.8128,                0.58943,                 0.5685,                  0.533,                0.31709,                 2.7101,                 9.7811,                 1.8745,              0.0003948,              0.0003948,              0.0003948
                      6,                 3.0145,                 2.5854,                 1.8042,                0.62325,                0.70976,                0.57201,                0.37514,                 2.4293,                 6.4981,                 1.7992,             0.00047545,             0.00047545,             0.00047545
                      7,                 3.1164,                 2.3984,                 1.8414,                0.42737,                0.67275,                0.48951,                0.31817,                 2.5489,                 4.3566,                 1.8056,             0.00055556,             0.00055556,             0.00055556
                      8,                 3.2164,                 2.3138,                  1.826,                 0.4397,                0.73648,                0.50299,                0.32225,                 2.5011,                 3.6831,                 1.7776,             0.00063511,             0.00063511,             0.00063511
                      9,                 3.1876,                 2.2041,                 1.8264,                0.63845,                0.64787,                0.67215,                0.42797,                 2.5798,                 4.2608,                 1.8077,             0.00071412,             0.00071412,             0.00071412
                     10,                 3.3304,                  2.579,                  1.894,                0.51108,                0.72573,                0.60063,                0.36627,                   2.75,                 7.0406,                 1.8698,             0.00079257,             0.00079257,             0.00079257
                     11,                 3.3694,                  2.408,                 1.8411,                0.35352,                0.81511,                0.40376,                0.26202,                 2.5764,                 6.1851,                 1.8397,             0.00087047,             0.00087047,             0.00087047
                     12,                 2.8822,                 1.9662,                 1.8199,                0.29661,                 0.8401,                0.34845,                0.20344,                 3.0007,                 6.9287,                 1.9596,             0.00094783,             0.00094783,             0.00094783
                     13,                 3.1833,                  2.246,                 1.8729,                0.28287,                0.73961,                0.33524,                 0.2022,                 2.8478,                 14.009,                 1.9314,              0.0010246,              0.0010246,              0.0010246
                     14,                 3.0674,                 2.4818,                 1.8516,                0.28287,                0.73961,                0.33524,                 0.2022,                 2.8478,                 14.009,                 1.9314,              0.0011009,              0.0011009,              0.0011009
