                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7784,                 3.2706,                 1.3184,                0.02514,                0.39247,                0.02684,                0.01209,                 1.5842,                  3.158,                 1.1956,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.8194,                 3.3121,                 1.3634,                0.53877,                0.24731,                0.12498,                0.06582,                 1.2984,                 2.4055,                 1.0928,             8.3075e-05,             8.3075e-05,             8.3075e-05
                      3,                 1.2445,                 1.6619,                 1.0922,                 0.5112,                0.82359,                0.58474,                 0.3611,                 1.1187,                 1.4033,                 1.0351,             0.00013248,             0.00013248,             0.00013248
                      4,                 1.1697,                 1.2312,                 1.0531,                0.66256,                0.74051,                0.72436,                0.47629,                 1.0591,                 1.0406,                 1.0346,             0.00018155,             0.00018155,             0.00018155
                      5,                 1.0478,                0.91464,                 1.0076,                  0.683,                0.87097,                0.78656,                0.51527,                 1.0626,                0.99122,                 1.0231,              0.0002303,              0.0002303,              0.0002303
                      6,                 1.0911,                0.81908,                   1.02,                0.75977,                0.86559,                0.83205,                0.55873,                 1.0566,                0.82322,                0.99471,             0.00027871,             0.00027871,             0.00027871
                      7,                 1.0592,                0.81878,                0.98926,                0.81578,                0.84866,                0.82798,                0.56285,                 1.0648,                 1.0591,                0.99295,              0.0003268,              0.0003268,              0.0003268
                      8,                0.99991,                 0.7642,                0.95327,                0.73652,                0.77957,                0.81675,                0.53166,                 1.1016,                0.91877,                 1.0029,             0.00037455,             0.00037455,             0.00037455
                      9,                0.97651,                0.94474,                0.97174,                0.69766,                 0.8172,                0.76923,                 0.4822,                  1.122,                 1.0855,                 1.0039,             0.00042198,             0.00042198,             0.00042198
                     10,                 1.0342,                0.96732,                0.96719,                0.76027,                0.76344,                0.86126,                0.53626,                 1.1487,                0.89624,                 1.0225,             0.00046907,             0.00046907,             0.00046907
                     11,                0.97027,                 0.7434,                0.94437,                0.72243,                0.86902,                0.88533,                0.54783,                  1.161,                0.80176,                 1.0334,             0.00051584,             0.00051584,             0.00051584
                     12,                 0.9916,                0.71424,                0.98654,                0.73153,                0.85771,                0.87262,                0.55624,                 1.1601,                0.98251,                 1.0148,             0.00056227,             0.00056227,             0.00056227
                     13,                 1.0378,                0.73137,                 0.9618,                0.73821,                0.88775,                0.87707,                0.55298,                  1.154,                 0.8119,                 1.0067,             0.00060837,             0.00060837,             0.00060837
                     14,                 1.0033,                 0.6985,                0.93556,                0.65033,                0.86022,                0.83933,                0.53287,                 1.2204,                0.95902,                 1.0564,             0.00065415,             0.00065415,             0.00065415
                     15,                 1.0059,                0.73668,                0.94552,                0.65033,                0.86022,                0.83933,                0.53287,                 1.2204,                0.95902,                 1.0564,             0.00069959,             0.00069959,             0.00069959
                     16,                 1.0303,                0.78491,                0.96713,                0.62848,                0.69892,                0.69597,                0.42183,                 1.2792,                 1.1602,                 1.0943,             0.00074471,             0.00074471,             0.00074471
                     17,                0.96261,                0.72456,                0.94221,                0.75499,                0.81183,                0.83293,                 0.5047,                 1.2335,                0.99345,                 1.0726,             0.00078949,             0.00078949,             0.00078949
                     18,                0.97174,                0.73558,                 0.9574,                0.75499,                0.81183,                0.83293,                 0.5047,                 1.2335,                0.99345,                 1.0726,             0.00083395,             0.00083395,             0.00083395
                     19,                0.94436,                 0.6814,                 0.9282,                0.79859,                0.90469,                0.88158,                0.55966,                 1.1536,                0.87135,                 1.0349,             0.00087807,             0.00087807,             0.00087807
                     20,                0.98064,                0.67233,                0.96864,                0.82562,                0.88359,                0.86256,                0.54527,                 1.2054,                0.79779,                 1.0465,             0.00092186,             0.00092186,             0.00092186
                     21,                 1.0146,                0.66477,                0.97909,                0.82562,                0.88359,                0.86256,                0.54527,                 1.2054,                0.79779,                 1.0465,             0.00096533,             0.00096533,             0.00096533
                     22,                 1.0105,                0.64326,                0.92609,                 0.5689,                0.89785,                0.76716,                0.48529,                 1.2029,                 1.0673,                 1.0579,              0.0010085,              0.0010085,              0.0010085
                     23,                0.94511,                0.62067,                0.92313,                 0.5689,                0.89785,                0.76716,                0.48529,                 1.2029,                 1.0673,                 1.0579,              0.0010513,              0.0010513,              0.0010513
                     24,                0.95733,                0.61221,                0.94512,                0.85725,                0.69652,                 0.8393,                0.53407,                  1.152,                0.82521,                 1.0483,              0.0010937,              0.0010937,              0.0010937
                     25,                 0.9626,                 0.6708,                0.96789,                0.85725,                0.69652,                 0.8393,                0.53407,                  1.152,                0.82521,                 1.0483,              0.0011359,              0.0011359,              0.0011359
                     26,                 1.0004,                0.66672,                0.94638,                0.72752,                0.92716,                0.89676,                 0.5577,                 1.1498,                0.92168,                 1.0194,              0.0011777,              0.0011777,              0.0011777
                     27,                0.97113,                0.66573,                0.95608,                0.72752,                0.92716,                0.89676,                 0.5577,                 1.1498,                0.92168,                 1.0194,              0.0012192,              0.0012192,              0.0012192
                     28,                0.98383,                0.63328,                0.94776,                 0.7173,                0.95161,                0.88086,                0.54972,                 1.1419,                0.73376,                 1.0192,              0.0012603,              0.0012603,              0.0012603
                     29,                0.91779,                0.60485,                0.92359,                 0.7173,                0.95161,                0.88086,                0.54972,                 1.1419,                0.73376,                 1.0192,              0.0013012,              0.0013012,              0.0013012
                     30,                 0.9522,                0.59903,                0.93083,                 0.7173,                0.95161,                0.88086,                0.54972,                 1.1419,                0.73376,                 1.0192,              0.0013416,              0.0013416,              0.0013416
                     31,                 1.0341,                0.69362,                0.99113,                0.80677,                0.93312,                 0.8765,                0.56625,                 1.1703,                0.67084,                 1.0479,              0.0013818,              0.0013818,              0.0013818
                     32,                 1.0807,                0.78191,                 1.0064,                0.80677,                0.93312,                 0.8765,                0.56625,                 1.1703,                0.67084,                 1.0479,              0.0014216,              0.0014216,              0.0014216
                     33,                 1.0245,                0.76381,                0.96626,                0.74164,                0.93548,                0.84312,                0.52094,                 1.1828,                0.90928,                 1.0467,              0.0014611,              0.0014611,              0.0014611
                     34,                 1.0152,                0.68437,                0.95981,                0.74164,                0.93548,                0.84312,                0.52094,                 1.1828,                0.90928,                 1.0467,              0.0014855,              0.0014855,              0.0014855
                     35,                 1.0614,                 0.6905,                0.99244,                0.74164,                0.93548,                0.84312,                0.52094,                 1.1828,                0.90928,                 1.0467,                0.00148,                0.00148,                0.00148
                     36,                 1.0421,                0.67861,                0.95306,                0.83628,                0.86507,                0.85525,                0.50675,                 1.2333,                0.81521,                 1.0255,              0.0014745,              0.0014745,              0.0014745
                     37,                0.97422,                0.62115,                0.96537,                0.83628,                0.86507,                0.85525,                0.50675,                 1.2333,                0.81521,                 1.0255,               0.001469,               0.001469,               0.001469
                     38,                 1.0425,                0.64171,                0.97487,                0.83628,                0.86507,                0.85525,                0.50675,                 1.2333,                0.81521,                 1.0255,              0.0014635,              0.0014635,              0.0014635
                     39,                0.99514,                0.62851,                0.95043,                0.76917,                 0.9086,                0.85088,                0.53652,                 1.1536,                0.72556,                 1.0088,               0.001458,               0.001458,               0.001458
                     40,                0.98821,                0.62033,                0.94752,                0.76917,                 0.9086,                0.85088,                0.53652,                 1.1536,                0.72556,                 1.0088,              0.0014525,              0.0014525,              0.0014525
                     41,                0.94619,                 0.6115,                0.94181,                0.74851,                0.84409,                0.85912,                0.54376,                 1.1967,                0.73619,                 1.0411,               0.001447,               0.001447,               0.001447
                     42,                0.98349,                0.62873,                0.95586,                0.74851,                0.84409,                0.85912,                0.54376,                 1.1967,                0.73619,                 1.0411,              0.0014415,              0.0014415,              0.0014415
                     43,                 1.0078,                0.64545,                0.95303,                0.74851,                0.84409,                0.85912,                0.54376,                 1.1967,                0.73619,                 1.0411,               0.001436,               0.001436,               0.001436
                     44,                0.99205,                0.60495,                0.97821,                 0.7114,                0.89836,                0.87592,                0.56749,                 1.1406,                0.83937,                 1.0246,              0.0014305,              0.0014305,              0.0014305
                     45,                0.94775,                0.60882,                0.95909,                 0.7114,                0.89836,                0.87592,                0.56749,                 1.1406,                0.83937,                 1.0246,               0.001425,               0.001425,               0.001425
                     46,                0.95078,                0.59883,                0.96053,                 0.7114,                0.89836,                0.87592,                0.56749,                 1.1406,                0.83937,                 1.0246,              0.0014195,              0.0014195,              0.0014195
                     47,                0.96608,                0.59952,                0.95118,                0.75189,                0.83333,                0.87566,                0.55321,                 1.1657,                0.75675,                 1.0176,              0.0014139,              0.0014139,              0.0014139
                     48,                0.94538,                0.55834,                0.93688,                0.75189,                0.83333,                0.87566,                0.55321,                 1.1657,                0.75675,                 1.0176,              0.0014084,              0.0014084,              0.0014084
                     49,                0.96518,                0.58048,                0.95562,                0.82016,                0.87255,                0.89252,                0.57937,                  1.147,                0.73286,                 1.0291,              0.0014029,              0.0014029,              0.0014029
